distribuidora;cliente;preventista;supervisor;supervisorpepsico;jefedeventas;gerente;dueno;tipo;taxo;portafolio;exhibidores;planograma;preciosvisibles;rotacionpreventiva;porcentajetiendaperfecta;tiendaperfecta;validacion;idtienda
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;8;0;0;55862
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;8;0;0;55863
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;12;0;0;55864
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;10;0;0;55865
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;12;0;0;55866
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;12;0;0;55867
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;23;0;0;55868
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;12;0;0;55869
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;24;0;0;55870
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;10;0;0;55871
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;20;0;0;55872
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;8;0;0;55873
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;17;0;0;55874
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;26;0;0;55875
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;16;0;0;55876
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;30;0;0;55877
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;22;0;0;55878
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;16;0;0;55879
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;14;0;0;55880
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55881
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;10;0;0;55882
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55883
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55884
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;10;0;0;55885
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;3;0;0;55886
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;26;0;0;55887
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;20;0;0;55888
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;3;0;0;55889
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;12;0;0;55890
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;19;0;0;55891
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;6;0;0;55892
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;13;0;0;55893
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;17;0;0;55894
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;7;0;0;55895
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;8;0;0;55896
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;16;0;0;55897
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;6;0;0;55898
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;30;0;0;55899
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55900
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;7;0;0;55901
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;11;0;0;55902
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;16;0;0;55903
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;16;0;0;55904
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;5;0;0;55905
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;18;0;0;55906
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;22;0;0;55907
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;10;0;0;55908
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55909
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;20;0;0;55910
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55911
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;19;0;0;55912
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;8;0;0;55913
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;14;0;0;55914
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;13;0;0;55915
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;26;0;0;55916
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;12;0;0;55917
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;14;0;0;55918
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;18;0;0;55919
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;10;0;0;55920
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;29;0;0;55921
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;23;0;0;55922
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;10;0;0;55923
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;11;0;0;55924
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;20;0;0;55925
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;11;0;0;55926
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;2;0;0;55927
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;7;0;0;55928
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;10;0;0;55929
TASK SRL EN FORMACION;12;35963004;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;6;0;0;55930
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;6;0;0;55931
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;6;0;0;55932
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;20;0;0;55933
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;9;0;0;55934
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;15;0;0;55935
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;6;0;0;55936
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;11;0;0;55937
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;10;0;0;55938
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;A;0;0;0;0;0;16;0;0;55939
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;16;0;0;55940
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;8;0;0;55941
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;13;0;0;55942
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;A;0;0;0;0;0;20;0;0;55943
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;23;0;0;55944
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;9;0;0;55945
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;18;0;0;55946
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;17;0;0;55947
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;10;0;0;55948
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;13;0;0;55949
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;A;0;0;0;0;0;25;0;0;55950
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;3;0;0;55951
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;7;0;0;55952
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;6;0;0;55953
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;15;0;0;55954
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;3;0;0;55955
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;11;0;0;55956
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;3;0;0;55957
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;12;0;0;55958
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;14;0;0;55959
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;10;0;0;55960
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;21;0;0;55961
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;11;0;0;55962
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;9;0;0;55963
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;9;0;0;55964
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;A;0;0;0;0;0;15;0;0;55965
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;12;0;0;55966
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;10;0;0;55967
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;6;0;0;55968
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;B;0;0;0;0;0;5;0;0;55969
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;21;0;0;55970
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;6;0;0;55971
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;10;0;0;55972
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;7;0;0;55973
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;6;0;0;55974
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;14;0;0;55975
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;16;0;0;55976
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;6;0;0;55977
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;7;0;0;55978
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;12;0;0;55979
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;20;0;0;55980
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;10;0;0;55981
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;16;0;0;55982
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;12;0;0;55983
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;16;0;0;55984
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;10;0;0;55985
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;15;0;0;55986
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;13;0;0;55987
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;15;0;0;55988
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;3;0;0;55989
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;16;0;0;55990
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;24;0;0;55991
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;5;0;0;55992
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;10;0;0;55993
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;15;0;0;55994
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;10;0;0;55995
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;23;0;0;55996
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;6;0;0;55997
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;15;0;0;55998
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;8;0;0;55999
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;20;0;0;56000
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;13;0;0;56001
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;30;0;0;56002
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;24;0;0;56003
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;23;0;0;56004
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;20;0;0;56005
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;6;0;0;56006
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;12;0;0;56007
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;B;0;0;0;0;0;12;0;0;56008
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;6;0;0;56009
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;30;0;0;56010
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;6;0;0;56011
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;9;0;0;56012
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;14;0;0;56013
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;8;0;0;56014
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;6;0;0;56015
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;13;0;0;56016
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;8;0;0;56017
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;11;0;0;56018
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;10;0;0;56019
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;14;0;0;56020
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;7;0;0;56021
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;12;0;0;56022
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;13;0;0;56023
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;5;0;0;56024
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;4;0;0;56025
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;2;0;0;56026
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;8;0;0;56027
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;1;0;0;56028
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;13;0;0;56029
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;12;0;0;56030
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;3;0;0;56031
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;8;0;0;56032
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;8;0;0;56033
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;15;0;0;56034
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;13;0;0;56035
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;A;0;0;0;0;0;6;0;0;56036
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;12;0;0;56037
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;6;0;0;56038
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;8;0;0;56039
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;11;0;0;56040
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;B;0;0;0;0;0;10;0;0;56041
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;12;0;0;56042
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;6;0;0;56043
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;5;0;0;56044
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;8;0;0;56045
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;4;0;0;56046
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;B;0;0;0;0;0;12;0;0;56047
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;16;0;0;56048
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;9;0;0;56049
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;21;0;0;56050
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;13;0;0;56051
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;18;0;0;56052
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;16;0;0;56053
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;13;0;0;56054
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;C;0;0;0;0;0;3;0;0;56055
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;A;0;0;0;0;0;12;0;0;56056
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;19;0;0;56057
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;8;0;0;56058
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;4;0;0;56059
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Autoservicio;C;0;0;0;0;0;6;0;0;56060
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;7;0;0;56061
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;5;0;0;56062
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Kiosco;A;0;0;0;0;0;15;0;0;56063
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;7;0;0;56064
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;C;0;0;0;0;0;10;0;0;56065
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;A;0;0;0;0;0;11;0;0;56066
TASK SRL EN FORMACION;15;30668476;29808762;26382195;28654645;26933144;28816329;Tradicional;B;0;0;0;0;0;11;0;0;56067
